,id,expectedmoney,capital,foodtype_고기,foodtype_디저트,foodtype_베이커리,foodtype_분식,foodtype_일식,foodtype_중식,foodtype_치킨,foodtype_커피,foodtype_패스트푸드,foodtype_퓨전음식,foodtype_한식,locate_경기,locate_서울,locate_인천
85,723307,2500.0,55000,0,0,0,1,0,0,0,0,0,0,0,0,1,0
86,720380,1180.0,9500,0,0,0,1,0,0,0,0,0,0,0,0,1,0
87,714520,960.0,9500,0,0,0,1,0,0,0,0,0,0,0,0,1,0
88,675436,800.0,9000,0,0,0,1,0,0,0,0,0,0,0,0,1,0
89,721731,1380.0,18000,0,0,0,1,0,0,0,0,0,0,0,0,1,0
90,721734,550.0,6000,0,0,0,1,0,0,0,0,0,0,0,1,0,0
91,721197,1180.0,13500,0,0,0,0,0,1,0,0,0,0,0,0,1,0
92,723541,2150.0,15000,0,0,0,0,0,1,0,0,0,0,0,0,1,0
93,708071,2100.0,23000,0,0,0,0,0,1,0,0,0,0,0,0,1,0
94,708070,2100.0,23000,0,0,0,0,0,1,0,0,0,0,0,0,1,0
95,720649,880.0,5000,0,0,0,0,0,1,0,0,0,0,0,1,0,0
96,720599,1660.0,33300,0,0,0,0,1,0,0,0,0,0,0,0,1,0
97,720814,1600.0,11000,0,0,0,0,1,0,0,0,0,0,0,0,1,0
98,722233,685.0,8000,0,0,0,0,1,0,0,0,0,0,0,0,1,0
99,720781,1340.0,13000,0,0,0,0,1,0,0,0,0,0,0,0,1,0
100,715738,1000.0,8000,0,0,0,0,1,0,0,0,0,0,0,1,0,0
101,720598,1660.0,33300,0,0,0,0,1,0,0,0,0,0,0,0,1,0
102,722230,3750.0,42000,0,0,0,0,1,0,0,0,0,0,0,1,0,0
103,720617,930.0,8000,0,0,0,0,1,0,0,0,0,0,0,1,0,0
104,720595,1660.0,33300,0,0,0,0,1,0,0,0,0,0,0,0,1,0
105,721145,2020.0,44000,0,0,0,0,1,0,0,0,0,0,0,0,1,0
106,721212,800.0,5500,0,0,0,0,1,0,0,0,0,0,0,1,0,0
108,715801,1650.0,35000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
109,715783,1950.0,35000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
112,720213,1352.0,32000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
113,710377,2300.0,35000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
114,720289,835.0,25000,0,1,0,0,0,0,0,0,0,0,0,1,0,0
115,722199,1100.0,35000,0,0,0,1,0,0,0,0,0,0,0,0,1,0
116,715391,810.0,9000,0,1,0,0,0,0,0,0,0,0,0,0,1,0
117,715458,860.0,9000,0,1,0,0,0,0,0,0,0,0,0,0,1,0
118,689851,500.0,4600,0,1,0,0,0,0,0,0,0,0,0,0,1,0
119,722226,1150.0,23000,0,1,0,0,0,0,0,0,0,0,0,1,0,0
120,665712,800.0,8000,0,1,0,0,0,0,0,0,0,0,0,1,0,0
121,679332,1000.0,12000,0,1,0,0,0,0,0,0,0,0,0,1,0,0
122,720660,1020.0,25000,0,1,0,0,0,0,0,0,0,0,0,0,1,0
123,722963,500.0,4600,0,1,0,0,0,0,0,0,0,0,0,0,1,0
124,722937,950.0,14500,0,1,0,0,0,0,0,0,0,0,0,0,0,1
125,722972,900.0,19500,0,1,0,0,0,0,0,0,0,0,0,0,0,1
126,710371,1300.0,21000,0,1,0,0,0,0,0,0,0,0,0,0,1,0
127,609437,2000.0,25000,0,1,0,0,0,0,0,0,0,0,0,0,1,0
128,710986,700.0,6500,0,1,0,0,0,0,0,0,0,0,0,0,1,0
129,672822,1000.0,12000,0,1,0,0,0,0,0,0,0,0,0,1,0,0
130,720582,1020.0,26000,0,1,0,0,0,0,0,0,0,0,0,0,1,0
131,721185,470.0,8000,0,1,0,0,0,0,0,0,0,0,0,0,0,1
132,710919,700.0,6500,0,1,0,0,0,0,0,0,0,0,0,0,1,0
134,651426,1450.0,18000,0,1,0,0,0,0,0,0,0,0,0,1,0,0
136,722522,2300.0,15000,1,0,0,0,0,0,0,0,0,0,0,1,0,0
137,721545,1620.0,15000,1,0,0,0,0,0,0,0,0,0,0,0,1,0
138,715781,3700.0,35000,1,0,0,0,0,0,0,0,0,0,0,1,0,0
139,720655,1380.0,15000,1,0,0,0,0,0,0,0,0,0,0,1,0,0
140,722149,3070.0,35000,1,0,0,0,0,0,0,0,0,0,0,1,0,0
141,720863,3070.0,35000,1,0,0,0,0,0,0,0,0,0,0,1,0,0
